hall_id,result_date,avg_diff,avg_games,source_name
fukutoshin_maruhan_ikebukuro_sb,2025-11-09,-144,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-10,293,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-11,386,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-12,-26,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-13,281,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-14,-246,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-15,30,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-16,-43,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-17,3,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-18,206,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-19,-96,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-20,-93,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-21,849,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-22,274,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-23,-98,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-24,42,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-25,-92,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-26,179,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-27,610,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-28,414,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-29,178,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-11-30,209,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-01,54,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-02,247,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-03,-16,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-04,153,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-05,21,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-06,118,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-07,-52,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-08,214,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-09,-27,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-10,100,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-11,245,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-12,395,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-13,-121,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-14,-218,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-15,122,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-16,-64,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-17,57,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-18,-13,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-19,214,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-20,-192,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-21,102,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-22,213,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-23,128,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-24,112,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-25,289,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-26,297,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-27,502,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-28,664,,slorepo
fukutoshin_maruhan_ikebukuro_sb,2025-12-29,461,,slorepo
