hall_id,result_date,machine_key,machine_name,units,avg_diff,avg_games,winning_units,total_units,selected_flag,source_name
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_e4dc23c0c987,L東京喰種,11,-1217.112,4316.0,2,11,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_8b923f6423ea,スマスロ 東京リベンジャーズ,5,-1428.84,2205.0,0,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_ad62ce614a62,スマスロ シャーマンキング,3,-1449.147,3199.0,0,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_525f9a64b6b1,スマスロ スーパーブラックジャック,4,-1918.8,3900.0,0,4,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_348b1c47d12b,スマスロ 攻殻機動隊,4,-2409.183,5463.0,1,4,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_3e5bf1d252af,Lアズールレーン THE ANIMATION,3,-2584.638,5901.0,0,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_e8fb52c073c7,Lスマスロとある魔術の禁書目録,1,8250.0,5019.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_5eff32fe9200,Lパチスロガールズ＆パンツァー 最終章,1,5750.0,5638.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_76e578be9b34,スマスロ 七つの魔剣が支配する,1,5521.0,4623.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_c45097e5509b,Lスマスロ北斗の拳,1,2292.0,3206.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_2a92b733d609,Lラブ嬢3～Wご指名はいかがですか?～,1,1291.0,4670.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_b4ab6b52c9ef,A-SLOT+異世界かるてっとBT,1,1000.0,6281.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_a6e8ff733416,パチスロ　甲鉄城のカバネリ,1,785.0,2710.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_f4c902d74484,新ハナビ,1,562.0,7031.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_4c1fef64b561,パチスロ　ハードボイルド,1,323.0,6060.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_5092f13c4d0e,Lバキ　強くなりたくば喰らえ！！！,1,260.0,7156.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_deb5c3c727fb,Lタクトオーパス デスティニー,1,236.0,7416.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_a0fe7da68ca6,バーニングエクスプレス,1,198.0,535.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_03e02a1ae935,L ToLOVEるダークネス,1,73.0,513.0,1,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_2acdf3e67d22,スマスロ スーパーリオエース2,1,0.0,5787.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_12951ffbc66f,コードギアス反逆のルルーシュ３ C.C.&Kallen ver.,1,-33.57,3730.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_05560e81a953,スマスロ ギルティクラウン2,1,-171.24,1427.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_205e0f84800d,L範馬刃牙,1,-188.433,997.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_7d0342a866c3,スマスロ真・北斗無双,1,-214.65,4770.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_b487a01d24e3,バーサスリヴァイズ,1,-226.17,5385.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_4c551f2439e2,Lダーリン・イン・ザ・フランキス,1,-252.909,4437.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_de70fb3f09ce,回胴黙示録カイジ 狂宴,1,-327.933,439.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_1c14e9616969,Lパチスロ炎炎ノ消防隊,1,-461.838,2483.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_9ac2e573e5cb,パチスロ幼女戦記,1,-563.706,1314.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_b862da58d139,スマスロ ゴールデンカムイ,1,-748.41,1313.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_15f14cf7e4b3,この素晴らしい世界に祝福を！,1,-755.787,1319.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_c34e2ca3ed84,SHAKE BONUS TRIGGER,1,-767.625,2875.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_89fcbd76162e,Lソードアート・オンライン,1,-778.71,1285.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_5e50852a946c,スマスロ コードギアス 反逆のルルーシュ 復活のルルーシュ,1,-930.126,779.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_115eaa74c1e2,L D4DJ Pachi-Slot Mix,1,-993.447,1213.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_4cda82bc2a80,L咲-Saki-頂上決戦,1,-1084.875,1315.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_bc74e00b1d48,回胴式遊技機グランベルム,1,-1159.488,2112.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_50a2cfbc9023,吉宗,1,-1210.95,3105.0,0,1,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_362dea094f51,Lスマスロ劇場版まどか前後編f-フォルテ-,1,-1222.128,1476.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_15ddeac842fa,スマスロ頭文字D 2nd,1,-1251.648,1696.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_a5d12ebaef25,L ＨＥＹ！エリートサラリーマン鏡,1,-1302.651,2139.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_fa8f9e0c8d8d,スマスロ ゴブリンスレイヤーⅡ,1,-1347.384,1811.0,0,1,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-22,bd_ccda539048be,スマスロ デビルメイクライ5 スタイリッシュトライブ,1,-1404.288,2208.0,0,1,0,min-repo_machine_detail
